Red_Frequency,Green_Frequency,Blue_Frequency,Clear_Frequency,Red,Green,Blue,Well_Row
25170.28286,20621.68811,19584.55214,31705.83103,255,255,255,A
25108.68826,20670.45279,19579.05955,31713.89003,255,255,255,A
24885.16705,20272.14887,19310.39994,31413.69885,252.9767481,255,251.6025867,A
29224.10873,24000.90911,22654.53076,35188.90953,255,255,255,B
29344.24354,24135.95569,22820.34428,34733.69585,255,255,255,B
29374.47494,23974.10628,22736.40135,34625.99034,255,255,255,B
29895.78554,24658.96697,23389.50814,31955.89304,255,255,255,C
30045.48089,24577.47982,23465.69959,32340.29724,255,255,255,C
29842.11207,24394.81042,23270.20495,33950.23808,255,255,255,C
28978.57924,23802.69702,22840.1721,34630.6931,255,255,255,D
29052.44614,23824.06263,22781.24539,35404.88424,255,255,255,D
29349.12883,23963.9378,23028.54897,34848.09856,255,255,255,D
27586.21383,22673.0571,21844.61885,34940.48867,255,255,255,E
27669.68627,22694.79658,21722.03941,34698.82825,255,255,255,E
27233.33582,22359.29155,21601.59549,34453.92247,255,255,255,E
25349.9285,21018.86796,20219.12578,32191.61995,255,255,255,F
25099.0282,20789.42475,20075.69889,31961.26017,254.9685752,255,255,F
25236.34592,20879.2432,20097.78369,32228.02392,255,255,255,F
22996.03386,19034.73521,18480.04968,29468.80263,228.1702872,235.4562556,236.1594283,G
23672.30533,19392.69803,18766.5188,29962.76149,236.0085786,241.8366334,242.6020376,G
23477.11396,19342.99903,18631.10323,29900.96082,235.6651724,239.6293392,240.3025392,G
21096.06601,17322.68398,16752.21543,26994.06928,199.1296206,204.1708483,204.7145687,H
21159.77549,17280.42001,16690.64353,26878.82647,198.8190527,204.1112497,204.5973395,H
20893.96447,17145.46716,16598.32394,26560.86208,195.4953368,201.7036135,201.1624912,H
