Red_Frequency,Green_Frequency,Blue_Frequency,Clear_Frequency,Red,Green,Blue,Label
24530.19442,19994.10407,19452.8492,30988.68075,248.8760864,250.5874822,254.6933365,0
24585.20976,19514.63727,19675.86634,30921.48255,251.6605108,242.3275358,255,4
22771.55549,17695.63638,18447.2955,28372.97836,222.5458277,210.7657163,235.1687496,8
21032.55807,16055.15637,17213.04737,26126.34705,198.6027585,182.3070981,212.8202573,12
18739.04105,14004.00945,15452.64226,23225.37078,162.8292556,146.273141,179.0375184,16
16740.39535,12390.69479,13901.6214,20730.7962,133.8266615,117.9197618,149.7047698,20
20776.2055,15096.99188,16806.59369,25222.00904,194.540178,165.421015,205.4759208,24
20889.05456,15023.49165,17025.67161,25230.15685,196.4890003,163.6623165,209.3999794,28
19740.62452,13938.77395,16212.44611,23975.40699,178.0822989,145.7954839,194.0110561,32
18486.3828,12939.97938,15032.45837,21890.0336,153.7899377,121.9694839,169.8392235,36
16305.1501,11253.26266,13587.21527,19610.41901,127.9290575,98.5049354,144.6963056,40
14775.81314,10209.06297,12380.02089,34685.22105,104.9685544,80.34391255,121.6425503,44
18769.12291,12815.81901,15238.07151,22390.25143,163.9669492,125.3158709,175.3576597,48
18451.27433,12333.9902,15041.28627,21771.53644,159.2342427,116.8505329,172.2077376,52
17717.7531,11767.0857,14577.3658,20879.71167,149.2211728,106.9017701,162.3489845,56
16438.94255,10906.72656,13612.74073,19501.61824,129.0776702,91.61278014,144.6175238,60
14736.88664,9697.690367,12300.47255,34185.19235,103.9558483,70.71134293,120.2611775,64
13237.53137,8714.810339,11090.48298,31186.12685,81.61199371,53.30745097,96.73071094,68
17171.22027,11297.59718,13989.72854,20223.21251,139.682838,98.8888672,151.3558963,72
17090.8824,11119.08283,14111.2074,20075.20878,139.2649697,95.80522694,153.7365788,76
16063.3373,10238.40478,13229.66696,30273.51162,123.6327108,80.34312953,136.7117255,80
15272.53109,9804.267213,12612.40688,34611.10858,112.2975995,72.71667954,125.8726741,84
13743.99947,8760.766998,11414.47809,31737.87975,89.34590918,54.29511124,103.493939,88
12903.47161,8271.143116,10438.70801,26426.77133,71.5452933,42.7108552,85.03676409,92
16366.70031,10524.64833,13171.44964,25224.67483,128.0720943,84.72584902,136.5151832,96
