Row,Red_Frequency,Green_Frequency,Blue_Frequency,Clear_Frequency,Normalized_RGB_Mean,Red,Green,Blue,Label
B,25097.062262090687,20456.14747799911,19902.384758492306,31704.797641909645,0.977412980205777,255.0,255.0,255.0,0.0
C,24585.20976,19514.63727,19675.86634,30921.48255,1.0,250.70306265791942,243.13234368160684,255.0,4.0
D,23363.724877844514,18155.807586453833,18927.013439708557,29110.81154114326,0.974654324559092,232.5326360198564,219.25872227946303,245.494546430633,8.0
E,22805.4551409947,17408.49340147289,18663.986488465776,28328.614791592692,0.9222599566623965,224.2279902187723,206.128970893604,240.5077964856474,12.0
F,22017.491581504823,16454.052229779867,18156.12762487415,27288.71793714215,0.8510979091615144,212.50649103336093,189.3601532415251,230.87925785829432,16.0
G,21271.435196075352,15744.422742073026,17664.304369638103,26341.898068216484,0.7869894624265247,201.4083898473824,176.89249380601885,221.55473966955864,20.0
B,21256.322476529764,15445.8680063995,17194.976975302365,25804.864014277722,0.977412980205777,201.1835777634865,171.64711036054842,212.65672238720143,24.0
C,20889.05456,15023.49165,17025.67161,25230.15685,1.0,195.72021523537882,164.2262736331794,209.44684782066685,28.0
D,20253.975201854402,14301.248759456883,16634.04727346189,24598.882276386394,0.974654324559092,186.27297355837229,151.5370061421881,202.0220093033247,32.0
E,20044.65516089532,14030.728848760831,16299.589135802411,23735.20984172263,0.9222599566623965,183.15919417093392,146.78417360702818,195.6809895268611,36.0
F,19157.7842272736,13222.054171283891,15964.33867800929,23041.319687084906,0.8510979091615144,169.96637985761473,132.57636425361318,189.324948086784,40.0
G,18775.10925551879,12972.299449248527,15730.85979045854,44073.29793597878,0.7869894624265247,164.27382680020528,128.18836055493819,184.89840235012934,44.0
B,19202.858249384502,13111.979551675133,15590.207843149263,22907.667366240756,0.977412980205777,170.63688689704964,130.6424355012868,182.23177032937016,48.0
C,18451.27433,12333.9902,15041.28627,21771.53644,1.0,159.45655984672632,116.97374437561167,171.82472036065087,52.0
D,18178.499446986036,12073.0862250297,14956.447052748079,21422.684067446615,0.974654324559092,155.39884609773168,112.38985664032161,170.21624655230286,56.0
E,17824.630063622786,11826.087082291624,14760.199260156207,21145.467825118623,0.9222599566623965,150.13479595368736,108.05026640926779,166.49556825569834,60.0
F,17315.148446926047,11394.329915055227,14452.476521905915,40165.992633771835,0.8510979091615144,142.55590695156263,100.46461585049884,160.6614271504241,64.0
G,16820.46838236527,11073.604863945222,14092.289045147712,39627.12124993874,0.7869894624265247,135.19720120438032,94.82971654185174,153.83260268425533,68.0
B,17568.029704685225,11558.673159447393,14313.016936868087,20690.550381009223,0.977412980205777,146.3176893603189,103.35200375799539,158.01740122559335,72.0
C,17090.8824,11119.08283,14111.2074,20075.20878,1.0,139.2197954592229,95.62873039684632,154.19127735456232,76.0
D,16481.06092102616,10504.652287498531,13573.70159516273,31060.767758553724,0.974654324559092,130.1482820840793,84.83364523848219,144.00065989107804,80.0
E,16559.898301635447,10630.69814771212,13675.54428541335,37528.58218549955,0.9222599566623965,131.3210422726215,87.04817674488383,145.93150396467908,84.0
F,16148.55273647697,10293.489037742956,13411.474716516845,37290.515472265186,0.8510979091615144,125.20199444501748,81.12366484892024,140.92498694448386,88.0
G,16395.99032268453,10509.852432455173,13264.101374133183,33579.57455811204,0.7869894624265247,128.88279850028334,84.92500789668313,138.13092343292485,92.0
B,16744.91810672934,10767.862247730965,13475.828443803748,25807.59140797311,0.977412980205777,134.0733389601701,89.45804741040381,142.14507463698567,96.0
C,15725.66774,9898.815951,12777.1974,35221.23559,1.0,118.91128965032301,74.18955385281126,128.89967030563307,100.0
D,16107.041331911933,10264.199653067326,12938.97265136016,32370.550414653353,0.974654324559092,124.58448378867521,80.60907226287745,131.9667808127829,104.0
E,15103.929189781726,9514.20584360471,12458.44671775771,34505.53990782145,0.9222599566623965,109.66250165479647,67.43224187870831,122.85644948881003,108.0
F,14832.551500962893,9361.308008439735,12342.368565267536,34235.44390880472,0.8510979091615144,105.62557212916194,64.74594125241501,120.65571409721089,112.0
G,15295.632590663628,9714.705056440054,12200.864343715992,33933.598523237255,0.7869894624265247,112.51422142053353,70.95486311418725,117.97292373788353,116.0
B,15261.735542799406,9654.57718702826,12269.04907429745,34458.26215947048,0.977412980205777,112.0099795502806,69.8984614124607,119.26564374193401,120.0
C,14635.12728,9192.567803,11908.81708,33264.14284,1.0,102.68875123519173,61.78130202737607,112.43597526401913,124.0
D,14445.740048780108,9056.792488960855,11822.476368955347,33007.72258364869,0.974654324559092,99.87148608411236,59.39583129298025,110.7990345094022,128.0
E,14494.177702755109,9116.994392154804,11889.939220264863,33040.1448202033,0.9222599566623965,100.592029457944,60.45353371289652,112.0780683440216,132.0
F,14919.025453263523,9079.18759031234,11843.65292347003,32705.10835518649,0.8510979091615144,106.91193156703662,59.78929647658788,111.2005225757852,136.0
G,14122.847649993382,9035.135929363043,11728.948246065987,32899.853258730676,0.7869894624265247,95.06823986317752,59.01534173570045,109.02582701310034,140.0
B,14757.535670298996,9383.4362963638,11886.136756188878,33283.88031346887,0.977412980205777,104.50966012101136,65.1347187236269,112.0059771099023,144.0
C,14001.68176,8677.504805,11297.64086,31293.26155,1.0,93.265814022855,52.73203031849281,100.84863424416923,148.0
D,14373.161917008107,9171.07534411608,11627.21180673623,32446.759023314276,0.974654324559092,98.79183652139028,61.40369559692425,107.0969973595854,152.0
E,13584.643309615387,8565.05943030073,11110.280193755469,28000.407058172903,0.9222599566623965,87.06208061717173,50.75644917208537,97.2964477185193,156.0
